"";"V1";"Min.";"1st Qu.";"Median";"Mean";"3rd Qu.";"Max.";"result";"diff_per"
"1";"MMR1 +0.25";"3243";5684,75;6601;"6820.8072";7709,25;"17987";"6601 (5684.75 ;7709.25)";"9.23 (21.83 ;-6.01)"
"2";"MMR1 +0.5";"3063";5154,5;6003,5;"6158.1424";6998,25;"13754";"6003.5 (5154.5 ;6998.25)";"17.44 (29.12 ;3.76)"
"3";"MMR1 +1";"2285";4497,5;5132;"5284.9872";5960,25;"11041";"5132 (4497.5 ;5960.25)";"29.43 (38.15 ;18.04)"
"4";"MMR2 +0.25";"3597";6144,5;7263;"7497.3456";8612;"18093";"7263 (6144.5 ;8612)";"0.12 (15.5 ;-18.43)"
"5";"MMR2 +0.5";"3519";6088;7236;"7401.7572";8470,5;"16516";"7236 (6088 ;8470.5)";"0.5 (16.28 ;-16.48)"
"6";"MMR2 +1";"3327";6063;7110,5;"7400.3088";8462;"16652";"7110.5 (6063 ;8462)";"2.22 (16.63 ;-16.36)"
"7";"MMR2 + 3";"3277";6034,75;7031;"7280.286";8283,5;"14699";"7031 (6034.75 ;8283.5)";"3.31 (17.01 ;-13.91)"
"8";"early +0.25";"3258";5457,75;6367,5;"6563.992";7450,75;"14832";"6367.5 (5457.75 ;7450.75)";"12.44 (24.95 ;-2.46)"
"9";"early +0.5";"3234";5434,75;6349;"6554.63";7405,5;"14166";"6349 (5434.75 ;7405.5)";"12.69 (25.26 ;-1.84)"
"10";"early +1";"3223";5365;6271,5;"6479.2524";7319,75;"15131";"6271.5 (5365 ;7319.75)";"13.76 (26.22 ;-0.66)"
"11";"MMR2 -3";"2728";5493;6396;"6644.7492";7543;"14891";"6396 (5493 ;7543)";"12.05 (24.46 ;-3.73)"
"12";"MMR2 -5";"3300";5571,75;6521;"6764.9944";7696;"14517";"6521 (5571.75 ;7696)";"10.33 (23.38 ;-5.83)"
"13";"early second";"3390";5480;6381;"6569.954";7436;"16433";"6381 (5480 ;7436)";"12.25 (24.64 ;-2.26)"
"14";"early MMR2 like MMR1";"2955";5046;5903,5;"6047.7196";6861,75;"13246";"5903.5 (5046 ;6861.75)";"18.82 (30.61 ;5.64)"
"15";"MMR2 at 5";"3206";6933,5;8170,5;"8526.8368";9753,5;"22207";"8170.5 (6933.5 ;9753.5)";"-12.36 (4.65 ;-34.12)"
"16";"reference";"3381";6165;7272;"7486.114";8530,25;"17166";"7272 (6165 ;8530.25)";"0 (15.22 ;-17.3)"
