"";"region";"IQR_ref";"IQR_early";"IQR_MMR1";"diff_MMR2";"diff_MMR1"
"1";"North East";"158 (134; 191)";"147 (124; 173)";"131 (112; 155)";"6.96 (-9.49; 21.52)";"17.09 (1.9; 29.11)"
"2";"North West";"731 (624.75; 872)";"672 (571.75; 785)";"602 (518; 706)";"8.07 (-7.39; 21.79)";"17.65 (3.42; 29.14)"
"3";"Yorkshire and The Humber";"474 (405; 564)";"435 (372; 512)";"391 (334; 455.25)";"8.23 (-8.02; 21.52)";"17.51 (3.96; 29.54)"
"4";"East Midlands";"508 (432.75; 606)";"467 (395; 547)";"419 (359; 494)";"8.07 (-7.68; 22.24)";"17.52 (2.76; 29.33)"
"5";"West Midlands";"651 (555.75; 780)";"601 (512; 704)";"540 (462.75; 628)";"7.68 (-8.14; 21.35)";"17.05 (3.53; 28.92)"
"6";"East";"750 (637; 892)";"685 (581; 800)";"620 (533; 723.25)";"8.67 (-6.67; 22.53)";"17.33 (3.57; 28.93)"
"7";"London";"2112 (1784; 2488)";"1873.5 (1600; 2193)";"1750 (1515.75; 2035.25)";"11.29 (-3.84; 24.24)";"17.14 (3.63; 28.23)"
"8";"South East";"1358 (1151; 1620.25)";"1246 (1054; 1457)";"1122 (969; 1307)";"8.25 (-7.29; 22.39)";"17.38 (3.76; 28.65)"
"9";"South West";"509 (432; 606.25)";"466 (397.75; 550)";"423 (359; 494)";"8.45 (-8.06; 21.86)";"16.9 (2.95; 29.47)"
